"","EventYear","yrID","Plot","Transect","Quadrat","quadnum"
"69",2015,7,"S09","A",4,14
"70",2015,7,"S09","A",5,15
"71",2017,8,"S09","A",1,6
"72",2017,8,"S09","A",2,7
"73",2017,8,"S09","A",3,8
"74",2017,8,"S09","A",4,9
"75",2017,8,"S09","A",5,10
"76",2022,10,"S09","A",1,11
"77",2022,10,"S09","A",2,12
"78",2022,10,"S09","A",3,13
"79",2022,10,"S09","A",4,14
"80",2022,10,"S09","A",5,15
"81",2010,4,"S22","B",1,1
"82",2010,4,"S22","B",2,2
"83",2010,4,"S22","B",3,3
"84",2010,4,"S22","B",4,4
"85",2010,4,"S22","B",5,5
"86",2013,6,"S22","B",1,6
"87",2013,6,"S22","B",2,7
"88",2013,6,"S22","B",3,8
"89",2013,6,"S22","B",4,9
"90",2013,6,"S22","B",5,10
"91",2015,7,"S22","B",1,16
"92",2015,7,"S22","B",2,17
"93",2015,7,"S22","B",3,18
"94",2015,7,"S22","B",4,19
"95",2015,7,"S22","B",5,20
"96",2019,9,"S22","B",1,6
"97",2019,9,"S22","B",2,7
"98",2019,9,"S22","B",3,8
"99",2019,9,"S22","B",4,9
"100",2019,9,"S22","B",5,10
"101",2022,10,"S22","B",1,16
"102",2022,10,"S22","B",2,17
"103",2022,10,"S22","B",3,18
"104",2022,10,"S22","B",4,19
"105",2022,10,"S22","B",5,20
"106",2010,4,"S26","B",1,6
"107",2010,4,"S26","B",2,7
"108",2010,4,"S26","B",3,8
"109",2010,4,"S26","B",4,9
"110",2010,4,"S26","B",5,10
"111",2013,6,"S26","B",1,11
"112",2013,6,"S26","B",2,12
"113",2013,6,"S26","B",3,13
"114",2013,6,"S26","B",4,14
"115",2013,6,"S26","B",5,15
"116",2015,7,"S26","B",1,21
"117",2015,7,"S26","B",2,22
"118",2015,7,"S26","B",3,23
"119",2015,7,"S26","B",4,24
"120",2015,7,"S26","B",5,25
"121",2019,9,"S26","B",1,11
"122",2019,9,"S26","B",2,12
"123",2019,9,"S26","B",3,13
"124",2019,9,"S26","B",4,14
"125",2019,9,"S26","B",5,15
"126",2022,10,"S26","B",1,21
"127",2022,10,"S26","B",2,22
"128",2022,10,"S26","B",3,23
"129",2022,10,"S26","B",4,24
"130",2022,10,"S26","B",5,25
"131",2007,1,"S12","C",1,16
"132",2007,1,"S12","C",2,17
"133",2007,1,"S12","C",3,18
"134",2007,1,"S12","C",4,19
"135",2007,1,"S12","C",5,20
"136",2013,6,"S12","C",1,16
"137",2013,6,"S12","C",2,17
"138",2013,6,"S12","C",3,18
"139",2013,6,"S12","C",4,19
"140",2013,6,"S12","C",5,20
"141",2015,7,"S12","C",1,26
"142",2015,7,"S12","C",2,27
"143",2015,7,"S12","C",3,28
"144",2015,7,"S12","C",4,29
"145",2015,7,"S12","C",5,30
"146",2019,9,"S12","C",1,16
"147",2019,9,"S12","C",2,17
"148",2019,9,"S12","C",3,18
"149",2019,9,"S12","C",4,19
"150",2019,9,"S12","C",5,20
"151",2022,10,"S12","C",1,26
"152",2022,10,"S12","C",2,27
"153",2022,10,"S12","C",3,28
"154",2022,10,"S12","C",4,29
"155",2022,10,"S12","C",5,30
"156",2007,1,"S10","B",1,21
"157",2007,1,"S10","B",2,22
"158",2007,1,"S10","B",3,23
"159",2007,1,"S10","B",4,24
"160",2007,1,"S10","B",5,25
"161",2008,2,"S10","B",1,6
"162",2008,2,"S10","B",2,7
"163",2008,2,"S10","B",3,8
"164",2008,2,"S10","B",4,9
"165",2008,2,"S10","B",5,10
"166",2009,3,"S10","B",1,6
"167",2009,3,"S10","B",2,7
"168",2009,3,"S10","B",3,8
"169",2009,3,"S10","B",4,9
"170",2009,3,"S10","B",5,10
"171",2011,5,"S10","B",1,6
"172",2011,5,"S10","B",2,7
"173",2011,5,"S10","B",3,8
"174",2011,5,"S10","B",4,9
"175",2011,5,"S10","B",5,10
"176",2013,6,"S10","B",1,21
"177",2013,6,"S10","B",2,22
"178",2013,6,"S10","B",3,23
"179",2013,6,"S10","B",4,24
"180",2013,6,"S10","B",5,25
"181",2015,7,"S10","B",1,31
"182",2015,7,"S10","B",2,32
"183",2015,7,"S10","B",3,33
"184",2015,7,"S10","B",4,34
"185",2015,7,"S10","B",5,35
"186",2019,9,"S10","B",1,21
"187",2019,9,"S10","B",2,22
"188",2019,9,"S10","B",3,23
"189",2019,9,"S10","B",4,24
"190",2019,9,"S10","B",5,25
"191",2022,10,"S10","B",1,31
"192",2022,10,"S10","B",2,32
"193",2022,10,"S10","B",3,33
"194",2022,10,"S10","B",4,34
"195",2022,10,"S10","B",5,35
"196",2007,1,"S13","A",1,26
"197",2007,1,"S13","A",2,27
"198",2007,1,"S13","A",3,28
"199",2007,1,"S13","A",4,29
"200",2007,1,"S13","A",5,30
"201",2015,7,"S13","A",1,36
"202",2015,7,"S13","A",2,37
"203",2015,7,"S13","A",3,38
"204",2015,7,"S13","A",4,39
"205",2015,7,"S13","A",5,40
"206",2017,8,"S13","A",1,11
"207",2017,8,"S13","A",2,12
"208",2017,8,"S13","A",3,13
"209",2017,8,"S13","A",4,14
"210",2017,8,"S13","A",5,15
"211",2022,10,"S13","A",1,36
"212",2022,10,"S13","A",2,37
"213",2022,10,"S13","A",3,38
"214",2022,10,"S13","A",4,39
"215",2022,10,"S13","A",5,40
"216",2007,1,"S02","B",1,31
"217",2007,1,"S02","B",2,32
"218",2007,1,"S02","B",3,33
"219",2007,1,"S02","B",4,34
"220",2007,1,"S02","B",5,35
"221",2008,2,"S02","B",1,11
"222",2008,2,"S02","B",2,12
"223",2008,2,"S02","B",3,13
"224",2008,2,"S02","B",4,14
"225",2008,2,"S02","B",5,15
"226",2009,3,"S02","B",1,11
"227",2009,3,"S02","B",2,12
"228",2009,3,"S02","B",3,13
"229",2009,3,"S02","B",4,14
"230",2009,3,"S02","B",5,15
"231",2011,5,"S02","B",1,11
"232",2011,5,"S02","B",2,12
"233",2011,5,"S02","B",3,13
"234",2011,5,"S02","B",4,14
"235",2011,5,"S02","B",5,15
"236",2013,6,"S02","B",1,26
"237",2013,6,"S02","B",2,27
"238",2013,6,"S02","B",3,28
"239",2013,6,"S02","B",4,29
"240",2013,6,"S02","B",5,30
"241",2015,7,"S02","B",1,41
"242",2015,7,"S02","B",2,42
"243",2015,7,"S02","B",3,43
"244",2015,7,"S02","B",4,44
"245",2015,7,"S02","B",5,45
"246",2019,9,"S02","B",1,26
"247",2019,9,"S02","B",2,27
"248",2019,9,"S02","B",3,28
"249",2019,9,"S02","B",4,29
"250",2019,9,"S02","B",5,30
"251",2022,10,"S02","B",1,41
"252",2022,10,"S02","B",2,42
"253",2022,10,"S02","B",3,43
"254",2022,10,"S02","B",4,44
"255",2022,10,"S02","B",5,45
"256",2010,4,"S27","A",1,11
"257",2010,4,"S27","A",2,12
"258",2010,4,"S27","A",3,13
"259",2010,4,"S27","A",4,14
"260",2010,4,"S27","A",5,15
"261",2013,6,"S27","A",1,31
"262",2013,6,"S27","A",2,32
"263",2013,6,"S27","A",3,33
"264",2013,6,"S27","A",4,34
"265",2013,6,"S27","A",5,35
"266",2015,7,"S27","A",1,46
"267",2015,7,"S27","A",2,47
"268",2015,7,"S27","A",3,48
"269",2015,7,"S27","A",4,49
"270",2015,7,"S27","A",5,50
"271",2019,9,"S27","A",1,31
"272",2019,9,"S27","A",2,32
"273",2019,9,"S27","A",3,33
"274",2019,9,"S27","A",4,34
"275",2019,9,"S27","A",5,35
"276",2022,10,"S27","A",1,46
"277",2022,10,"S27","A",2,47
"278",2022,10,"S27","A",3,48
"279",2022,10,"S27","A",4,49
"280",2022,10,"S27","A",5,50
"281",2007,1,"S05","B",1,36
"282",2007,1,"S05","B",2,37
"283",2007,1,"S05","B",3,38
"284",2007,1,"S05","B",4,39
"285",2007,1,"S05","B",5,40
"286",2015,7,"S05","B",1,51
"287",2015,7,"S05","B",2,52
"288",2015,7,"S05","B",3,53
"289",2015,7,"S05","B",4,54
"290",2015,7,"S05","B",5,55
"291",2017,8,"S05","B",1,16
"292",2017,8,"S05","B",2,17
"293",2017,8,"S05","B",3,18
"294",2017,8,"S05","B",4,19
"295",2017,8,"S05","B",5,20
"296",2022,10,"S05","B",1,51
"297",2022,10,"S05","B",2,52
"298",2022,10,"S05","B",3,53
"299",2022,10,"S05","B",4,54
"300",2022,10,"S05","B",5,55
"301",2010,4,"S21","B",1,16
"302",2010,4,"S21","B",2,17
"303",2010,4,"S21","B",3,18
"304",2010,4,"S21","B",4,19
"305",2010,4,"S21","B",5,20
"306",2015,7,"S21","B",1,56
"307",2015,7,"S21","B",2,57
"308",2015,7,"S21","B",3,58
"309",2015,7,"S21","B",4,59
"310",2015,7,"S21","B",5,60
"311",2017,8,"S21","B",1,21
"312",2017,8,"S21","B",2,22
"313",2017,8,"S21","B",3,23
"314",2017,8,"S21","B",4,24
"315",2017,8,"S21","B",5,25
"316",2022,10,"S21","B",1,56
"317",2022,10,"S21","B",2,57
"318",2022,10,"S21","B",3,58
"319",2022,10,"S21","B",4,59
"320",2022,10,"S21","B",5,60
"321",2007,1,"S08","A",1,41
"322",2007,1,"S08","A",2,42
"323",2007,1,"S08","A",3,43
"324",2007,1,"S08","A",4,44
"325",2007,1,"S08","A",5,45
"326",2015,7,"S08","A",1,61
"327",2015,7,"S08","A",2,62
"328",2015,7,"S08","A",3,63
"329",2015,7,"S08","A",4,64
"330",2015,7,"S08","A",5,65
"331",2017,8,"S08","A",1,26
"332",2017,8,"S08","A",2,27
"333",2017,8,"S08","A",3,28
"334",2017,8,"S08","A",4,29
"335",2017,8,"S08","A",5,30
"336",2022,10,"S08","A",1,61
"337",2022,10,"S08","A",2,62
"338",2022,10,"S08","A",3,63
"339",2022,10,"S08","A",4,64
"340",2022,10,"S08","A",5,65
"341",2010,4,"S25","B",1,21
"342",2010,4,"S25","B",2,22
"343",2010,4,"S25","B",3,23
"344",2010,4,"S25","B",4,24
"345",2010,4,"S25","B",5,25
"346",2015,7,"S25","B",1,66
"347",2015,7,"S25","B",2,67
"348",2015,7,"S25","B",3,68
"349",2015,7,"S25","B",4,69
"350",2015,7,"S25","B",5,70
"351",2017,8,"S25","B",1,31
"352",2017,8,"S25","B",2,32
"353",2017,8,"S25","B",3,33
"354",2017,8,"S25","B",4,34
"355",2017,8,"S25","B",5,35
"356",2022,10,"S25","B",1,66
"357",2022,10,"S25","B",2,67
"358",2022,10,"S25","B",3,68
"359",2022,10,"S25","B",4,69
"360",2022,10,"S25","B",5,70
